Method of Killing,Percentage,Group
Blunt Implement,7.157148511597621,Best Boroughs
Knife or Sharp Implement,43.83304425955256,Best Boroughs
Not known/Not Recorded,11.751503663006005,Best Boroughs
Other Methods of Killing,19.342317229557022,Best Boroughs
"Physical Assault, no weapon",10.254865641853957,Best Boroughs
Shooting,9.576400868041048,Best Boroughs
Blunt Implement,7.506155994548079,Worst Boroughs
Knife or Sharp Implement,54.82904338519897,Worst Boroughs
Not known/Not Recorded,4.21145337207099,Worst Boroughs
Other Methods of Killing,11.810695196812484,Worst Boroughs
"Physical Assault, no weapon",5.999238091866059,Worst Boroughs
Shooting,15.643413959503414,Worst Boroughs
